original_ent,original_entLabel,original_coord,original_categoryLabels,original_P1566,original_streetAddress,original_description,original_latitudine,original_longitudine,distance,formatted,lat,lon,housenumber,name,street,district,postcode,suburb,city,county,county_code,state,state_code,country,country_code,attribution,attribution_license,attribution_url
http://www.wikidata.org/entity/Q99477583,Casa dell'Unione Cooperativa,"(9.187611111, 45.463388888)",edificio,,,edificio di Milano,45.463388888,9.187611111,4.142238337670747,"OVS, Via Spadari, 2, 20123 Milano MI, Italia",45.463393,9.1876639,2,OVS,Via Spadari,Comune di Milano,20123,Municipio 1,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q99471864,giardino Ambrogio Fogar,"(9.1737, 45.45535)",parco cittadino,,,area verde di Milano,45.45535,9.1737,26.838244706782493,"Piazzale Antonio Cantore, 1, 20123 Milano MI, Italia",45.455292,9.173366,1,,Piazzale Antonio Cantore,Comune di Milano,20123,Moncucco,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
http://www.wikidata.org/entity/Q99436819,Palazzo Roentgen,"(9.187888888, 45.45075)",edificio,,viale Bligny,edificio di Milano,45.45075,9.187888888,0,"Università Bocconi, Via Ferdinando Bocconi, 20136 Milano MI, Italia",45.449719400000006,9.188710347570984,,Università Bocconi,Via Ferdinando Bocconi,,20136,Municipio 5,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q99436819,Palazzo Roentgen,"(9.187888888, 45.45075)",edificio,,via Guglielmo Roentgen,edificio di Milano,45.45075,9.187888888,0,"Università Bocconi, Via Ferdinando Bocconi, 20136 Milano MI, Italia",45.449719400000006,9.188710347570984,,Università Bocconi,Via Ferdinando Bocconi,,20136,Municipio 5,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q99335829,casa Venegoni,"(9.1845, 45.455555555)",edificio,,"Via Cosimo del Fante, 16 - Milano",edificio di Milano,45.455555555,9.1845,8.909905142784691,"Via Cosimo del Fante, 16, 20136 Milano MI, Italia",45.4554864,9.1845577,16,,Via Cosimo del Fante,,20136,Municipio 1,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q99334306,Grattacieli di Piazza Piemonte,"(9.155166666, 45.465944444)",edificio,,,palazzi di Milano,45.465944444,9.155166666,3.016323951160939,"Piazza Piemonte, 20145 Milano MI, Italia",45.466231,9.155227,,Piazza Piemonte,Piazza Piemonte,,20145,Municipio 7,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q99197455,Vecchio cimitero di Trenno,"(9.1011, 45.4887)",cimitero,,,"cimitero storico di Trenno, oggi scomparso, che nel 1958 fu dismesso e le salme trasferite a Musocco",45.4887,9.1011,33.51336910447708,"Via Fratelli Gorlini, 3, 20151 Milano MI, Italia",45.488876,9.101449,3,,Via Fratelli Gorlini,Comune di Milano,20151,Musocco,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
http://www.wikidata.org/entity/Q99006501,Civica scuola di musica Claudio Abbado,"(9.168369444, 45.491313888)","istituzione educativa specializzata, scuola di musica",,,Scuola di alta formazione in ambito musicale,45.491313888,9.168369444,2.1790341875534796,"Villa Simonetta, Via Stilicone, 20155 Milano MI, Italia",45.49150505,9.168344451468752,,Villa Simonetta,Via Stilicone,Municipio 8 di Milano,20155,Ghisolfa,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q98446281,via Antonio Mambretti,"(9.131515, 45.509502)",strada urbana,,,strada di Milano,45.509502,9.131515,1.9422913290413741,"Via Antonio Mambretti, 20157 Milano MI, Italia",45.509486,9.131505,,,Via Antonio Mambretti,Comune di Milano,20157,Musocco,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
http://www.wikidata.org/entity/Q98317531,albergo incompiuto di Ponte Lambro,"(9.262816, 45.447571)","albergo, edificio incompiuto",,,,45.447571,9.262816,249.5086812335611,"Via Monlue', 147, 20138 Milano MI, Italia",45.448635,9.26,147,,Via Monlue',Comune di Milano,20138,Rogoredo,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
