original_ID_ENTITA,original_id_dataset_originale,original_nome_dataset,original_last_update,original_municipio,original_indirizzo,original_civico,original_codice_albero,original_data_origine,original_genere_albero,original_specie_albero,original_varieta_albero,original_diam_tronc_albero,original_diam_chiom_albero,original_h_m_albero,original_longitudine,original_latitudine,original_Location,original_categoria,original_Funzionante_antenna,original_Città,original_CAP,original_NIL,original_TARGA_bottega,original_ANNO_ISTITUZIONE_bottega,original_attivita_storica,original_ent_WDPOI,original_P1566_WDPOI,original_codice_panchina,original_descrizione_codice_panchina,original_codice_tavolo,original_descrizione_codice_tavolo,original_Fonte_NIL,original_Shape_Length,original_Shape_Area,original_entLabel_WDPOI,original_wikidata_POI,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,attribution,attribution_license,attribution_url
133708,260.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,1.0,nan,,,,,,,,,,9.167371074075596,45.47212423905408,"(45.47212423905408, 9.167371074075596)",fontana,,,20145.0,MAGENTA - S. VITTORE,,,,,,,,,,,,,,,7.076275245950543,"Largo Quinto Alpini, 1, 20145 Milano MI, Italia",45.472062,9.16739,,1,Largo Quinto Alpini,20145,Comune di Milano,Oggiaro,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
133736,4490.0,Wikidata,2024-07-31,,nan,,,,,,,,,,9.137393,45.472136,"(9.137393, 45.472136)",piazza,,MILANO,,,,,,http://www.wikidata.org/entity/Q106982712,,,,,,,,,Piazzale Selinunte,Si,3.8741364396830527,"Piazzale Selinunte, 20148 Milano MI, Italia",45.47213995,9.13744236323095,Piazzale Selinunte,,,20148,,Municipio 7,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
133886,245.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,7.0,nan,,,,,,,,,,9.142645105237778,45.47219524661516,"(45.47219524661516, 9.142645105237778)",fontana,,,20148.0,SAN SIRO,,,,,,,,,,,,,,,0.833815726252091,"Fontanella, Via Daniele Ricciarelli, 20148 Milano MI, Italia",45.4722026,9.1426472,Fontanella,,Via Daniele Ricciarelli,20148,,Municipio 7,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
134096,563.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,3.0,nan,,,,,,,,,,9.237660630299365,45.47226446539422,"(45.47226446539422, 9.237660630299365)",fontana,,,20133.0,CITTA' STUDI,,,,,,,,,,,,,,,58.68747148440464,"Via Alessandro Milesi, 6, 20133 Milano MI, Italia",45.471856,9.237184,,6,Via Alessandro Milesi,20133,Comune di Milano,Ortica,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
134539,92.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,7.0,nan,,,,,,,,,,9.146377948894685,45.47239971683803,"(45.47239971683803, 9.146377948894685)",fontana,,,20149.0,DE ANGELI - MONTE ROSA,,,,,,,,,,,,,,,14.327789981448236,"Piazzale Crivellone, 16, 20149 Milano MI, Italia",45.472521,9.14644,,16,Piazzale Crivellone,20149,Comune di Milano,Oggiaro,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
135801,330.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,7.0,nan,,,,,,,,,,9.148861821341823,45.47289288048247,"(45.47289288048247, 9.148861821341825)",fontana,,,20149.0,DE ANGELI - MONTE ROSA,,,,,,,,,,,,,,,14.600066312253544,"Via Domenichino, 16, 20149 Milano MI, Italia",45.472934,9.148684,,16,Via Domenichino,20149,Comune di Milano,Oggiaro,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
135958,2960.0,Wikidata,2024-07-31,,nan,3,,,,,,,,,9.204542505,45.472948257,"(9.204542505, 45.472948257)",ospedale,,MILANO,20219.0,,,,,http://www.wikidata.org/entity/Q114868646,,,,,,,,,Pio Istituto oftalmico,Si,13.087837666250435,"Via Borghetto, 3, 20219 Milano MI, Italia",45.4728507,9.2044486,,3,Via Borghetto,20219,,Municipio 1,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
136648,4682.0,Wikidata,2024-07-31,,nan,,,,,,,,,,9.23473,45.47314,"(9.23473, 45.47314)",piazza,,MILANO,20133.0,,,,,http://www.wikidata.org/entity/Q106434495,,,,,,,,,Largo Oreste Murani,Si,1.4844643116783522,"Largo Oreste Murani, 20133 Milano MI, Italia",45.47315275,9.23473564365306,Largo Oreste Murani,,,20133,,Municipio 3,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
137014,363.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,1.0,nan,,,,,,,,,,9.20172391711542,45.47324249913219,"(45.47324249913219, 9.201723917115421)",fontana,,,20121.0,GIARDINI P.TA VENEZIA,,,,,,,,,,,,,,,79.56982889069839,"Museo Civico di Storia Naturale, Corso Venezia, 55, 20121 Milano MI, Italia",45.472734,9.2024419,Museo Civico di Storia Naturale,55,Corso Venezia,20121,Comune di Milano,Municipio 1,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
137137,224.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,3.0,nan,,,,,,,,,,9.234801005104265,45.47326701131525,"(45.47326701131525, 9.234801005104263)",fontana,,,20133.0,CITTA' STUDI,,,,,,,,,,,,,,,1.698001542888589,"Largo Oreste Murani, 20133 Milano MI, Italia",45.473252,9.234805,,,Largo Oreste Murani,20133,Comune di Milano,Lambrate,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
138100,452.0,Vedovelle (fontanelle) nel Comune di Milano,2024-07-08,1.0,nan,,,,,,,,,,9.20112685019311,45.4734662208006,"(45.473466220800596, 9.20112685019311)",fontana,,,20121.0,GIARDINI P.TA VENEZIA,,,,,,,,,,,,,,,95.31024534539142,"Via Palestro, 16, 20121 Milano MI, Italia",45.472638,9.200812,,16,Via Palestro,20121,Comune di Milano,Oggiaro,Milano,Milano,MI,Lombardia,LOM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
